Exercise,BodyPart,Difficulty,Intensity,MovementPattern,Equipment,RecommendedReps,RecommendedSets,Description,MuscleGroups,GifUrl
arm slingers hanging straight legs,waist,1,Low,Core,Kettlebell,12-15,4,No description provided,General,
arm slingers hanging bent knee legs,waist,1,Low,Push,Barbell,8-12,3,No description provided,General,
weighted russian twist v. 2,waist,4,High,Push,Barbell,15-20,1,No description provided,General,
cable seated twist,waist,2,Low,Pull,Barbell,12-15,3,No description provided,General,
frog crunch,waist,5,Medium,Push,Dumbbell,12-15,3,No description provided,General,
bridge - mountain climber (cross body),waist,1,High,Compound,None,Max Effort,4,No description provided,General,
barbell sitted alternate leg raise,waist,4,High,Push,Machine,8-12,3,No description provided,General,
barbell sitted alternate leg raise (female),waist,5,Low,Isolation,Kettlebell,8-12,4,No description provided,General,
twisted leg raise (female),waist,2,Low,Cardio,Dumbbell,8-12,4,No description provided,General,
twisted leg raise,waist,3,Medium,Pull,Kettlebell,12-15,4,No description provided,General,
captains chair straight leg raise,waist,3,High,Pull,Machine,Max Effort,1,No description provided,General,
curl-up,waist,4,Medium,Compound,None,Max Effort,4,No description provided,General,
potty squat,waist,1,Low,Core,Dumbbell,15-20,2,No description provided,General,
pelvic tilt,waist,1,Low,Push,Cable,12-15,2,No description provided,General,
quarter sit-up,waist,1,High,Core,Machine,8-12,2,No description provided,General,
half sit-up (male),waist,2,High,Pull,Body Weight,8-12,2,No description provided,General,
prisoner half sit-up (male),waist,5,Medium,Isolation,None,8-12,4,No description provided,General,
arms overhead full sit-up (male),waist,3,Low,Isolation,Dumbbell,12-15,3,No description provided,General,
side-to-side toe touch (male),waist,4,Medium,Pull,Machine,12-15,4,No description provided,General,
kneeling plank tap shoulder (male),waist,3,Low,Compound,None,Max Effort,4,No description provided,General,
front lever,waist,3,Medium,Cardio,Band,15-20,3,No description provided,General,
straddle planche,waist,2,Medium,Isolation,Kettlebell,15-20,4,No description provided,General,
full planche,waist,1,Medium,Push,Machine,15-20,2,No description provided,General,
lean planche,waist,5,Low,Push,Dumbbell,12-15,1,No description provided,General,
frog planche,waist,4,Medium,Core,Dumbbell,12-15,1,No description provided,General,
flag,waist,5,High,Isolation,Body Weight,12-15,3,No description provided,General,
straddle maltese,waist,2,Medium,Pull,Cable,8-12,2,No description provided,General,
full maltese,waist,2,High,Push,Kettlebell,8-12,1,No description provided,General,
l-sit on floor,waist,2,High,Push,Band,15-20,1,No description provided,General,
v-sit on floor,waist,1,Medium,Pull,Cable,15-20,2,No description provided,General,
bodyweight incline side plank,waist,1,Low,Core,Cable,Max Effort,4,No description provided,General,
knee touch crunch,waist,5,Medium,Core,None,Max Effort,2,No description provided,General,
reverse plank with leg lift,waist,2,High,Push,Machine,Max Effort,1,No description provided,General,
power point plank,waist,3,Medium,Isolation,Body Weight,Max Effort,2,No description provided,General,
weighted decline sit-up,waist,2,Medium,Cardio,Body Weight,Max Effort,2,No description provided,General,
sit-up with arms on chest,waist,4,High,Isolation,None,12-15,2,No description provided,General,
inchworm v. 2,waist,3,Medium,Compound,Kettlebell,15-20,3,No description provided,General,
shoulder tap,waist,3,Low,Pull,Barbell,8-12,4,No description provided,General,
lever seated crunch v. 2,waist,5,Low,Isolation,Dumbbell,Max Effort,1,No description provided,General,
